Simplified,Traditional,Status,Interval
便宜,便宜,strong,43.705473
笔,筆,strong,151.223504
颜色,顏色,strong,65.137358
长,長,strong,128.488613
件,件,strong,131.408319
分,分,strong,192.058555
合适,合適,strong,18.499039
不用,不用,strong,112.725078
短,短,strong,23.790109
条,條,strong,196.621631
裤子,褲子,strong,198.246564
售货员,售貨員,strong,44.262517
衬衫,襯衫,strong,138.507728
开始,開始,strong,125.377026
椅子,椅子,strong,135.012086
容易,容易,strong,85.605211
桌子,桌子,strong,268.919513
做,做,memorized,0.0
复习,復習,strong,206.194386
点,點,memorized,0.0
篇,篇,strong,59.158538
唱,唱,strong,18.747375
丈夫,丈夫,strong,266.737179
多,多,strong,278.297893
对不起,對不起,memorized,6.866495
方便,方便,weak,6.92213
语法,語法,strong,164.070829
打,打,strong,151.997743
啊,啊,memorized,0.0
农民,農民,strong,8.013033
热,熱,strong,251.320875
三,三,memorized,0.0
教室,教室,strong,97.073908
德国,德國,strong,57.297264
护士,護士,strong,128.895691
电,電,strong,255.483828
用,用,strong,143.591456
哪,哪,strong,265.244092
晚,晚,strong,165.192733
喜欢,喜歡,strong,291.90167
五,五,memorized,32.0
专业,專業,strong,80.978946
教授,教授,strong,58.140417
四,四,memorized,0.0
枝,枝,strong,88.864046
录音,錄音,strong,16.458364
小,小,strong,252.377202
正在,正在,strong,161.802618
大家,大家,strong,152.864021
进,進,strong,115.637254
今天,今天,memorized,33.0
星期四,星期四,memorized,0.0
有意思,有意思,strong,126.41813
孩子,孩子,strong,230.922336
课,課,strong,199.768819
球,球,strong,112.487256
中国,中國,memorized,31.0
几,幾,strong,253.819838
汉子,漢子,strong,87.092329
聊,聊,strong,254.341234
爱,愛,strong,87.952239
这么,這麼,strong,14.580128
宿舍,宿舍,strong,9.032861
女,女,memorized,0.0
一,一,memorized,30.0
念,念,strong,44.534351
西班牙文,西班牙文,strong,102.784448
苹果,蘋果,strong,173.311475
怎么,怎麼,strong,251.56938
我,我,strong,256.537723
呢,呢,strong,270.503128
钱,錢,strong,31.102815
日文,日文,strong,213.092547
玩儿,玩兒,strong,270.845756
电话,電話,strong,31.42082
雪碧,雪碧,strong,106.192639
可乐,可樂,strong,171.313635
已经,已經,strong,155.509162
认识,認識,strong,266.248398
封,封,strong,17.16146
住,住,strong,139.513214
发音,發音,strong,131.621552
去,去,strong,297.305414
饭店,飯店,strong,18.552021
脑,腦,strong,118.979298
学期,學期,strong,92.97372
能,能,strong,258.183835
夏威夷,夏威夷,strong,70.928471
课文,課文,strong,107.97126
早,早,strong,160.766381
语言学,語言學,strong,15.621943
回,回,strong,284.088653
工程师,工程師,strong,81.535625
听,聽,strong,258.3101
衣服,衣服,strong,266.036127
教,教,strong,171.382471
谢谢,謝謝,strong,250.443056
一共,一共,strong,120.914941
里,裡,strong,247.900045
好玩儿,好玩兒,strong,52.473674
夏天,夏天,strong,52.179143
潮湿,潮濕,strong,15.05089
春天,春天,strong,22.906778
秋天,秋天,strong,7.418369
面试,面試,strong,50.732501
闷热,悶熱,strong,20.594558
好久,好久,strong,146.912538
贵,貴,strong,198.873571
日记,日記,strong,41.64613
长短,長短,strong,139.674823
笑,笑,strong,135.28387
中,中,strong,138.295265
找钱,找錢,strong,173.089091
百,百,strong,170.724732
红,紅,strong,140.50935
如果…的话,如果…的話,strong,123.854675
它,它,strong,133.407079
黄,黃,strong,126.120947
凉快,涼快,strong,19.455923
放,放,strong,19.244822
阴天,陰天,strong,20.034666
晴天,晴天,strong,14.812241
饿,餓,strong,53.012047
碗,碗,strong,51.267903
渴,渴,strong,19.770392
服务员,服務員,strong,19.112421
风,風,strong,49.619529
毛,毛,strong,114.230057
信用卡,信用卡,strong,117.583852
挺,挺,strong,61.089513
换,換,strong,24.075376
种,種,strong,210.745363
跳舞,跳舞,strong,253.786824
工作,工作,strong,246.762355
唱歌儿,唱歌兒,strong,273.224142
写,寫,strong,268.718053
话,話,strong,152.386185
和,和,strong,283.133708
水果,水果,memorized,0.0
会,會,strong,260.042043
一边,一邊,weak,100.772872
睡,睡,strong,123.050711
面,麵,memorized,0.255233
九月,九月,strong,245.34437
俄文,俄文,strong,156.161799
平常,平常,strong,169.188437
酷,酷,weak,0.25
下棋,下棋,weak,17.740675
坐,坐,strong,270.836546
医院,醫院,strong,126.507656
十二,十二,memorized,0.0
没,沒,memorized,0.0
以后,以後,strong,188.449133
同学,同學,strong,283.7157
办公室,辦公室,strong,188.603644
加拿大,加拿大,strong,201.394072
上课,上課,strong,155.722045
跳,跳,strong,33.940769
一下,一下,strong,260.010789
吃,吃,strong,296.737309
什么,什麼,strong,283.953387
节,節,strong,134.058556
弟弟,弟弟,memorized,0.0
东西,東西,strong,254.971862
聊天,聊天,strong,266.100079
呀,呀,strong,260.913095
个,個,memorized,0.0
生日,生日,memorized,0.0
